17:25:23: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
17:26:06: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:07: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:08: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:09: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:10: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:11: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:12: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:13: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:14: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:15: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:16: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:17: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:18: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:19: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
17:26:20: [INFO] [/home/kumananm/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 73] Queue status: Disconnected
